Fecha,PREC_21205770_BASE_AEREA_MADRID_MADRID,TMin_21205880_FLORES_CHIBCHA_MADRID,TMin_21206060_CASABLANCA_MADRID,PREC_21205420_TIBAITATA_MOSQUERA,TMax_21205420_TIBAITATA_MOSQUERA,TMin_21205420_TIBAITATA_MOSQUERA,PREC_21205960_TACHI_SUBACHOQUE,TMin_21205960_TACHI_SUBACHOQUE,PREC_21201210_EL_HATO_TENJO,TMax_21205980_GRANJA_PROVIDENCIA_TENJO,TMin_21205980_GRANJA_PROVIDENCIA_TENJO,PREC_21206280_ACAPULCO_BOJACA,TMin_21205870_EL_SALITRE_BOJACA,PREC_21201070_EL_CORAZON_FACATATIVA,TMin_21205940_VILLA_INES_FACATATIVA
1996-01-17,0.0,6.6,4.0,0.0,20.0,6.4,0.0,4.0,0.0,19.9,7.3,0.0,6.6,0.0,7.8
1996-01-18,0.0,5.2,3.0,0.0,19.4,3.4,0.0,2.2,0.0,19.0,4.0,0.0,3.6,0.0,9.4
1996-01-19,0.0,6.2,4.0,0.0,18.5,5.8,0.0,3.8,0.0,18.5,5.3,0.0,4.2,0.0,9.0
1996-01-20,0.0,3.2,3.0,0.0,18.3,3.2,0.0,3.0,0.0,18.7,4.6,0.0,2.2,0.0,5.6
1996-01-21,0.0,8.2,3.5,0.0,18.3,8.0,0.0,7.4,0.0,18.2,9.2,0.0,8.0,0.0,8.2
1996-01-22,0.0,9.2,4.0,0.0,17.5,9.6,0.0,9.2,0.0,17.901514003605595,9.2,0.0,8.2,0.0,8.0
1996-01-23,0.0,6.2,3.2,0.0,19.1,6.6,0.0,6.0,0.0,18.9,6.6,0.0,6.2,0.0,6.8
1996-01-24,0.0,5.8,4.0,0.0,19.9,6.0,0.0,6.4,0.0,19.9,6.2,0.0,6.2,0.0,6.6
1996-01-25,0.0,9.8,6.0,0.0,19.3,10.2,0.0,9.6,0.0,19.0,11.2,0.0,8.2,0.0,8.6
1996-01-26,0.0,7.2,6.0,0.0,20.5,5.6,0.0,5.6,0.0,21.0,6.6,0.0,8.0,0.0,7.8
1996-01-27,0.0,3.8,4.0,0.0,19.179966423047787,3.2,0.0,3.4,0.0,18.8,5.1,0.0,3.6,0.0,7.0
1996-01-28,0.0,3.4,4.0,0.0,18.7,5.6,0.0,1.2,0.0,19.2,5.8,0.0,5.2,0.0,5.0
1996-01-29,0.0,4.8,2.0,0.0,19.3,4.4,0.0,4.9721081331497,0.0,19.8,4.7,0.0,5.0,0.0,5.0
1996-01-30,0.0,1.6,3.0,0.0,19.4,4.8,0.0,1.4,0.0,18.8,2.3,0.0,3.4,0.0,3.6
1996-01-31,0.0,10.4,4.0,0.0,18.094177542348763,10.4,0.0,9.007701319574444,0.0,17.2,10.6,0.0,8.2,0.0,5.0
1996-02-01,0.2,3.2,3.2,0.3,17.4,3.3,0.0,2.2,0.0,17.4,6.4,0.0,2.6,0.0,5.0
1996-02-02,0.0,7.6,6.3,0.0,18.6,8.8,0.0,9.8,0.0,18.5,9.0,0.0,7.8,0.0,7.0
1996-02-03,0.45,5.8,4.0,0.0,20.2,8.6,0.0,7.6,0.0,19.7,8.2,0.0,4.6,0.0,4.6
1996-02-04,0.9,6.4,8.0,0.3,20.7,10.0,0.0,8.8,0.0,20.2,9.2,0.0,8.8,0.0,5.2
1996-02-05,0.4,6.2,2.0,0.0,18.7,6.4,0.0,4.6,0.0,18.0,5.6,0.0,6.2,0.0,7.6
