Fecha,TMIN_Real,TMIN_Predicha,Error,Error_Abs,Helada_Real,Helada_Predicha
2020-11-27,10.2,7.268049848948482,2.9319501510515176,2.9319501510515176,0,0
2020-11-28,10.6,8.345668489465206,2.2543315105347936,2.2543315105347936,0,0
2020-11-29,5.0,8.685288642603574,-3.685288642603574,3.685288642603574,0,0
2020-11-30,6.4,5.842150827611322,0.5578491723886785,0.5578491723886785,0,0
2020-12-01,8.8,7.102445865416234,1.6975541345837666,1.6975541345837666,0,0
2020-12-02,9.2,8.195593160635791,1.0044068393642078,1.0044068393642078,0,0
2020-12-03,9.0,8.23679332564459,0.7632066743554091,0.7632066743554091,0,0
2020-12-04,4.4,7.952981828755484,-3.5529818287554837,3.5529818287554837,0,0
2020-12-05,2.8,5.617567291921051,-2.8175672919210513,2.8175672919210513,0,0
2020-12-06,3.2,5.135712033648498,-1.9357120336484979,1.9357120336484979,0,0
2020-12-07,3.4,5.335181310108508,-1.9351813101085082,1.9351813101085082,0,0
2020-12-08,7.2,5.052433760498561,2.1475662395014394,2.1475662395014394,0,0
2020-12-09,2.6,6.806428696759019,-4.206428696759019,4.206428696759019,0,0
2020-12-10,3.8,4.221100549712588,-0.42110054971258837,0.42110054971258837,0,0
2020-12-11,2.6,5.166289567238437,-2.5662895672384365,2.5662895672384365,0,0
2020-12-12,1.8,4.272385524909822,-2.4723855249098223,2.4723855249098223,0,0
2020-12-13,1.2,3.8170492677091383,-2.617049267709138,2.617049267709138,0,0
2020-12-14,1.0,3.3023893285819943,-2.3023893285819943,2.3023893285819943,0,0
2020-12-15,3.4,3.0275499346996257,0.37245006530037417,0.37245006530037417,0,0
2020-12-16,3.8,4.260811183166995,-0.460811183166995,0.460811183166995,0,0
2020-12-17,3.8,4.359981883115014,-0.5599818831150145,0.5599818831150145,0,0
2020-12-18,6.8,4.515088486140003,2.2849115138599965,2.2849115138599965,0,0
2020-12-19,10.0,6.031806831172857,3.968193168827143,3.968193168827143,0,0
2020-12-20,1.8,7.691297122413729,-5.89129712241373,5.89129712241373,0,0
2020-12-21,2.6,3.816004239225838,-1.2160042392258381,1.2160042392258381,0,0
2020-12-22,4.0,4.6285245715793195,-0.6285245715793195,0.6285245715793195,0,0
2020-12-23,4.8,4.985703525159316,-0.1857035251593162,0.1857035251593162,0,0
2020-12-24,8.8,5.260746184624926,3.5392538153750746,3.5392538153750746,0,0
2020-12-25,8.4,7.070299240509675,1.3297007594903256,1.3297007594903256,0,0
2020-12-26,6.8,6.7444721780956,0.0555278219044002,0.0555278219044002,0,0
2020-12-27,3.6,6.257817923432484,-2.6578179234324844,2.6578179234324844,0,0
2020-12-28,6.0,4.742279667638651,1.257720332361349,1.257720332361349,0,0
2020-12-29,5.6,6.236672630810584,-0.6366726308105841,0.6366726308105841,0,0
